created_at,username,text,likes,retweets,hashtags
Sun Nov 17 14:11:56 +0000 2019,alferdez,Sin cada uno y cada una de ustedes hubiera sido imposible recuperar la esperanza para poner a la Argentina otra vez de pie.  Entre todos vamos a mantener viva la llama de la democracia.  Feliz #DíaDeLaMilitancia. https://t.co/ao2velqqE0,16406,4343,[Hashtag(Text='DíaDeLaMilitancia')]
Sat Nov 16 23:08:16 +0000 2019,alferdez,"El gobierno de facto que usurpó el poder en Bolivia, ha liberado a las Fuerzas Armadas para que actúen sin tener que responder por sus crímenes. Crece el número de muertos.  El Gobierno argentino calla. La OEA avala . @mbachelet y la ONU deben intervenir.  #BoliviaGolpeDeEstado https://t.co/8JnyOMDlvs",29447,17863,[Hashtag(Text='BoliviaGolpeDeEstado')]
Sat Nov 16 18:05:42 +0000 2019,alferdez,"No podemos ser una sociedad que se jacta de poder alimentar a 400 millones de personas y no poder alimentar a los nuestros.  No es un desafío que tiene un gobierno, es un imperativo moral que tenemos como sociedad. Hay lugar para todos los que quieran ser parte de esa lucha. https://t.co/ZnZonP6Rrt",15609,4989,[]
Sat Nov 16 03:50:58 +0000 2019,alferdez,"RT @alferdezprensa: 📻 ""Cambiar un protocolo que legitima que un policía dispare por la espalda cuando alguien se está escapando, no habla b…",0,466,[]
Sat Nov 16 03:45:27 +0000 2019,alferdez,"RT @teleSURtv: El presidente electo de #Argentina🇦🇷, @alferdez, criticó la gestión del secretario de la #OEA @Almagro_OEA2015👉https://t.co/…",0,1166,"[Hashtag(Text='Argentina'), Hashtag(Text='OEA')]"
Sat Nov 16 01:59:28 +0000 2019,alferdez,RT @cuervotinelli: 👏👏👏👏👏 Emocionante encuentro. Gracias @alferdez por esta invitación para trabajar en el Observatorio Nacional Argentina c…,0,1779,[]
Fri Nov 15 19:49:39 +0000 2019,alferdez,Mi primer compromiso como presidente será unir la voluntad de todos los argentinos para terminar con el hambre en nuestro país.  Es un imperativo moral y la garantía más firme para mantener viva y activa nuestra democracia. https://t.co/tGaSQO10Q5,14962,3824,[]
Fri Nov 15 05:13:37 +0000 2019,alferdez,"Otra mentira más del Gobierno macrista. Nadie acordó semejante cosa conmigo. Como siempre, descargan en otros decisiones que toman desde su propia ineptitud. Patricia Bullrich: ""El aumento del combustible fue acordado con Alberto Fernández"" | Perfil https://t.co/DwNxSFMW8E",24554,11717,[]
Fri Nov 15 04:36:45 +0000 2019,alferdez,RT @alferdezprensa: EN VIVO | 📺 “Valoro mucho lo que ha pasado en Uruguay estos últimos años con las presidencias de Tabaré Vázquez y Pepe…,0,889,[]
Fri Nov 15 04:35:27 +0000 2019,alferdez,@laurarvrtr 😂me hiciste reír mucho. No puedo revelarte la marca del pomelo que tomo. Es un secreto de Estado😂😂😂,11363,960,[]
